Nr Camere,Suprafata,Etaj,Total Etaje,Sector,Scor,Pret
3,90,3,6,1,2,165000
2,50,10,10,3,4,56000
2,58.15,6,10,2,2,118000
1,34,1,3,4,5,37000
4,99,3,9,3,4,145000
3,126,5,5,1,2,243000
3,102.25,2,3,1,2,89000
2,59.75,4,11,2,5,79500
2,52,5,10,3,4,63000
1,36,7,8,2,2,39999
4,136,1,3,1,4,233000
2,87.05,4,6,4,2,119900
2,50,9,10,2,5,55000
2,64.87,6,7,2,5,56000
3,92.6,4,7,1,2,157510
1,40,4,6,3,4,69900
7,162,0,1,6,4,318000
2,56.45,6,11,2,5,73000
4,136,3,3,1,2,199000
3,71.65,7,11,2,5,103000
5,141,1,4,1,2,267000
2,64.87,3,7,2,5,56953
4,123,1,3,6,4,120000
3,84,4,4,2,3,68500
2,59.75,5,11,2,5,79500
2,53,1,11,4,5,56000
3,80,2,4,1,2,176160
3,88.79,5,7,2,3,72760
2,56,4,11,4,5,58000
3,70.82,2,11,6,4,98000
2,63,1,3,6,4,58500
4,176.22,7,13,1,1,495000
2,58,2,3,2,2,76779
2,43,2,6,4,5,37500
2,121,1,3,2,2,80885
2,50,1,5,4,5,41915
2,68,6,9,4,5,74000
1,35,1,3,4,5,49900
1,45,1,5,4,5,33600
2,50,2,3,2,2,76779
2,54.18,2,5,1,4,61000
2,44.8,1,10,1,1,92000
2,52,2,3,3,4,45600
2,60,2,4,6,5,68000
3,68,1,3,1,2,102000
3,68,8,8,3,4,75500
1,37,1,5,2,3,35190
2,58,0,3,6,4,79900
2,44,1,6,4,5,38500
1,32,0,5,3,4,40000
1,30,0,5,4,5,35000
2,57,1,3,2,3,54000
2,64,5,11,6,4,54990
2,50,2,3,2,2,71489
3,83,2,4,2,3,67100
2,58,3,9,6,4,82900
3,79,1,4,4,5,68800
2,51,1,3,4,5,79500
4,126,2,5,6,4,180000
1,42,7,8,5,1,69900
4,108,0,2,3,2,168000
1,33,0,10,3,4,39500
2,84,2,3,3,4,87150
4,130,0,2,1,2,125000
3,71.65,6,11,2,5,103000
2,52,5,8,6,5,68700
2,58,7,10,6,4,84000
3,48,9,9,1,2,100000
2,58,2,4,2,3,48100
2,59.75,9,11,2,5,79500
2,55,2,2,1,2,85000
3,108,3,3,1,2,199000
3,71.85,4,11,1,1,87900
2,50,1,7,4,5,48500
1,34,1,5,6,4,45900
3,92,2,3,1,1,157000
3,70,3,5,1,1,89953
4,158,5,6,1,2,435000
4,87,1,5,1,2,90000
5,147,6,9,1,2,294000
3,73,5,8,2,2,104500
2,52.18,4,7,1,1,80453
3,85,2,2,1,2,144500
2,52,10,10,2,3,62000
3,89.81,7,7,2,5,73715
1,32.24,0,3,3,4,38300
2,36,0,6,4,5,31700
2,56,1,1,6,4,47600
2,51,2,3,3,4,58285
3,62.66,0,3,2,3,50725
4,82,0,4,1,1,84000
2,50,1,3,2,2,71489
1,32,0,5,3,4,40000
3,75,6,8,3,2,130000
3,64,1,11,1,1,111741
5,100,2,2,1,1,144000
2,39,1,4,4,5,34600
1,37,8,8,3,4,58800
2,57,1,5,3,2,136900
3,68,4,5,3,4,73520
2,64,6,8,1,1,126000
2,61,2,7,3,4,70500
2,57,1,5,4,5,57500
3,200,0,4,1,2,238000
1,39,2,3,3,4,45700
2,55,11,11,6,4,46500
4,121,2,3,2,3,190596
2,58.26,0,5,1,1,75000
3,82,1,3,6,4,66500
2,56.62,2,3,3,4,65200
2,51,1,4,1,1,65000
